rank,name,earnings,image
1,Kylie Jenner,$590M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-KylieJenner-Desktop-v1.jpg
2,Kanye West,$170M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-KanyeWest-Desktop-v1.png
3,Roger Federer,$106.3M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd93781d954329bc88a13%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2100%26cropY1%3D491%26cropY2%3D1491
4,Cristiano Ronaldo,$105M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd291633f3fbbcda36428%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D310%26cropX2%3D3448%26cropY1%3D85%26cropY2%3D1581
5,Lionel Messi,$104M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd4c60412e4343323ad21%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2367%26cropY1%3D162%26cropY2%3D1289
6,Tyler Perry,$97M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-TylerPerry-Desktop-v1.png
7,Neymar,$95.5M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd53a3a4d3cd7729717cc%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D50%26cropX2%3D2323%26cropY1%3D113%26cropY2%3D1197
8,Howard Stern,$90M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-HowardStern-Desktop-v1.jpg
9,LeBron James,$88.2M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd461f515d825a6c88a15%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D4037%26cropY1%3D144%26cropY2%3D2064
10,Dwayne Johnson,$87.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5b3a90cba7ea4353dd3f9804%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D179%26cropX2%3D3327%26cropY1%3D504%26cropY2%3D2002
11,Rush Limbaugh,$85M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed560600914c6000709c1bc%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D77%26cropX2%3D1920%26cropY1%3D0%26cropY2%3D879
12,Ellen DeGeneres,$84M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-EllenDegeneres-Desktop-v2.png
13,Bill Simmons,$82.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed55793570be80006474219%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1721%26cropY1%3D17%26cropY2%3D837
14,Elton John,$81M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-EltonJohn-Desktop-v1.jpg
15,James Patterson,$80M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed561a119427200062f28cd%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D192%26cropY2%3D1105
16,Stephen Curry,$74.4M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bdaec36beab21cd23ad21%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D429%26cropX2%3D2409%26cropY1%3D94%26cropY2%3D1036
17,Ariana Grande,$72M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-ArianaGrande-Desktop-v1.jpg
18,Ryan Reynolds,$71.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-RyanReynolds-Desktop-v1.png
19,Gordon Ramsay,$70M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed53f23da1f770006140c3c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D861%26cropX2%3D4094%26cropY1%3D162%26cropY2%3D1702
20,Jonas Brothers,$68.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed558d217d638000724e3ff%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D44%26cropY2%3D957
21,The Chainsmokers,$68M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos1%2FCeleb100-SILO-TheChainsmokers-Desktop-v1.png
22,Dr. Phil McGraw,$65.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed5634c570be8000647428a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D60%26cropX2%3D1903%26cropY1%3D0%26cropY2%3D879
23,Ed Sheeran,$64M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-EdSheeran-Desktop-v1.jpg
24,Kevin Durant,$63.9M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bd3ab36791eb4b102159a%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D3217%26cropY1%3D78%26cropY2%3D1608
25,Taylor Swift,$63.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed56484570be8000647428e%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D82%26cropY2%3D995
26,Tiger Woods,$62.3M,https://thumbor.forbes.com/thumbor/https%3Ahttps%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F627bed95471ba72af4c88a13%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D603%26cropX2%3D2678%26cropY1%3D123%26cropY2%3D1110
27,Kirk Cousins,$60.5M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc5f0a798e4c00060d233c%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D2763%26cropY1%3D201%26cropY2%3D1516
28,Post Malone,$60M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fimages.forbes.com%2FCeleb100-Silos2%2FCeleb100-SILO-PostMalone-Desktop-v1.jpg
28,J.K. Rowling,$60M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc5f6536d6f40008dcde02%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D400%26cropX2%3D2855%26cropY1%3D183%26cropY2%3D1352
28,Ryan Seacrest,$60M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ed568c626d36b00061e3620%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D0%26cropX2%3D1920%26cropY1%3D290%26cropY2%3D1203
31,Carson Wentz,$59.1M,https://thumbor.forbes.com/thumbor/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5ecc60a1fd6d6700060f84ff%2F874x416.jpg%3Fbackground%3D000000%26cropX1%3D549%26cropX2%3D3047%26cropY1%3D36%26cropY2%3D1224
